datetime,timestamp,mid_price,b_p_0,b_p_1,b_p_2,b_p_3,b_p_4,b_q_0,b_q_1,b_q_2,b_q_3,b_q_4,a_p_0,a_p_1,a_p_2,a_p_3,a_p_4,a_q_0,a_q_1,a_q_2,a_q_3,a_q_4,obi,spread,depth_skew,momentum_10s,future_mid_price,target
2026-04-19 02:28:38.948076963,1776565718.948077,75457.8,75457.8,75457.79,75456.96,75456.75,75456.34,0.9512,0.00028,0.00133,7e-05,7e-05,75457.81,75457.82,75457.9,75458.32,75458.33,0.92217,0.00063,7e-05,0.00014,0.08014,0.01549613797594709,0.00999999999476131,-0.02566330964674614,-0.00013131443898328765,75479.83,1
2026-04-19 02:28:39.962002993,1776565719.962003,75457.8,75457.8,75457.79,75456.96,75456.75,75456.36,0.95064,0.00028,0.00133,7e-05,0.003,75457.81,75457.82,75457.9,75459.34,75459.4,0.93626,0.0007,7e-05,0.00019,7e-05,0.007620965604960549,0.00999999999476131,0.009526526859733379,-0.00013131443898328765,75479.83,1
2026-04-19 02:28:40.986359119,1776565720.9863591,75465.21,75465.21,75464.73,75464.29,75464.2,75463.9,2.58334,0.4,0.3,0.85916,0.4,75465.22,75465.36,75465.4,75465.41,75465.44,0.01575,0.00307,0.00014,0.00014,0.00014,0.9878803735153456,0.00999999999476131,0.9915646222713264,-3.312675050026748e-05,75479.83,1
2026-04-19 02:28:41.949635983,1776565721.949636,75467.71,75467.7,75467.69,75467.44,75466.02,75466.01,3.31724,0.00014,7e-05,0.00021,0.29758,75467.71,75467.72,75468.0,75468.08,75468.42,0.00127,0.00035,0.0012,7e-05,0.00067,0.9992345962495217,0.010000000009313226,0.9980324969603185,0.0,75483.88,1
2026-04-19 02:28:42.947968960,1776565722.947969,75467.71,75467.7,75467.69,75467.44,75466.24,75466.03,3.29532,0.00014,7e-05,0.00133,0.01338,75467.71,75467.72,75468.0,75468.42,75468.86,0.45561,0.00063,0.0012,0.00067,7e-05,0.7570682470747254,0.010000000009313226,0.756831775651334,0.00013133168472978518,75483.88,1
2026-04-19 02:28:43.948244095,1776565723.948244,75467.71,75467.7,75467.69,75467.44,75466.25,75466.24,3.28392,0.00014,7e-05,0.00676,0.00133,75467.71,75467.72,75468.0,75468.42,75468.86,0.45167,0.00042,0.0012,0.00067,7e-05,0.7581801000645145,0.010000000009313226,0.7576082749416083,0.00013133168472978518,75483.88,1
2026-04-19 02:28:44.948026180,1776565724.9480262,75467.71,75467.7,75467.69,75467.44,75466.25,75466.24,3.28216,0.00014,7e-05,0.00676,0.00133,75467.71,75467.72,75468.0,75468.42,75468.86,0.39339,0.00042,0.0012,0.00067,7e-05,0.7859422399368802,0.010000000009313226,0.7852808168823805,0.00013133168472978518,75483.88,1
2026-04-19 02:28:45.947887897,1776565725.947888,75467.71,75467.7,75467.69,75467.44,75466.25,75466.24,3.28085,0.00014,7e-05,0.00676,0.00133,75467.71,75467.72,75468.0,75468.42,75468.86,0.40611,0.00049,0.0012,0.00067,7e-05,0.7797046889578406,0.010000000009313226,0.7790296103783714,0.00013133168472978518,75483.88,1
2026-04-19 02:28:46.948184013,1776565726.948184,75467.71,75467.7,75467.69,75467.57,75467.44,75466.25,3.27952,0.00014,0.00133,7e-05,0.00676,75467.71,75467.72,75468.0,75468.42,75468.44,0.40503,0.00049,0.0012,0.00067,0.00014,0.780146829327869,0.010000000009313226,0.7794363186166399,0.00013133168472978518,75483.88,1
2026-04-19 02:28:48.050306082,1776565728.050306,75467.71,75467.7,75467.69,75467.57,75467.44,75466.25,3.27952,0.00014,0.00133,7e-05,0.00676,75467.71,75467.72,75468.0,75468.42,75468.44,0.39231,0.00056,0.0012,0.00067,0.00014,0.7863136365245667,0.010000000009313226,0.7855486463735846,0.00013133168472978518,75483.88,1
2026-04-19 02:28:48.948774815,1776565728.9487748,75468.45,75468.44,75468.43,75467.72,75467.71,75467.7,4.25977,0.00014,0.1134,0.00019,0.15441,75468.45,75468.46,75469.09,75469.52,75469.68,1.05445,0.00063,7e-05,8e-05,8e-05,0.6031590713218496,0.00999999999476131,0.62197083403484,0.0001411384906528923,75483.88,1
2026-04-19 02:28:49.995656967,1776565729.995657,75468.45,75468.44,75468.43,75467.73,75467.72,75467.71,3.86051,0.00028,0.00014,0.04618,0.00033,75468.45,75468.46,75469.09,75469.52,75469.68,0.68557,0.0007,7e-05,8e-05,8e-05,0.698390701439482,0.00999999999476131,0.7011280077667537,0.0001411384906528923,75483.88,1
2026-04-19 02:28:50.951658010,1776565730.951658,75468.45,75468.44,75468.43,75467.73,75467.72,75467.71,3.86242,0.00028,0.00014,0.04618,0.00033,75468.45,75468.46,75469.09,75469.52,75469.68,0.62984,0.0007,7e-05,8e-05,8e-05,0.7195888038537397,0.00999999999476131,0.7221350977507203,4.2933690902025035e-05,75483.88,1
2026-04-19 02:28:51.948113918,1776565731.948114,75468.45,75468.44,75468.43,75467.73,75467.72,75467.71,3.86091,0.00014,0.00014,0.06888,0.00033,75468.45,75468.46,75469.09,75469.52,75469.68,0.35236,0.00077,7e-05,8e-05,8e-05,0.832737992105894,0.00999999999476131,0.8350234373541002,9.805518147887327e-06,75483.88,1
2026-04-19 02:28:52.948534012,1776565732.948534,75468.45,75468.44,75468.43,75467.73,75467.72,75467.71,3.86091,0.00014,0.00014,0.06888,0.00033,75468.45,75468.46,75469.09,75469.52,75469.68,0.40763,0.00084,7e-05,8e-05,8e-05,0.8090072952344362,0.00999999999476131,0.8116199211818119,9.805518147887327e-06,75483.88,1
2026-04-19 02:28:53.948273897,1776565733.948274,75468.45,75468.44,75468.43,75467.72,75467.71,75467.7,3.88294,0.00014,0.06888,0.00019,0.06152,75468.45,75468.46,75469.09,75469.52,75469.68,0.15848,0.0007,7e-05,8e-05,8e-05,0.9215721206902524,0.00999999999476131,0.923600793658401,9.805518147887327e-06,75483.88,1
2026-04-19 02:28:54.948631048,1776565734.948631,75469.67,75469.67,75469.66,75469.65,75469.59,75469.51,3.51771,0.30032,7e-05,0.003,0.29765,75469.68,75469.69,75470.0,75470.22,75470.26,0.00148,0.00049,0.0012,7e-05,0.00133,0.9991588973599039,0.00999999999476131,0.9977833396389316,2.5971372392241676e-05,75483.88,1
2026-04-19 02:28:56.033375978,1776565736.033376,75469.67,75469.67,75469.66,75469.65,75469.59,75469.51,3.86087,0.30032,7e-05,0.003,0.29765,75469.68,75469.69,75470.0,75470.22,75470.26,0.00155,0.00049,0.0012,7e-05,0.00133,0.9991973943796895,0.00999999999476131,0.9979223337923004,2.5971372392241676e-05,75485.08,1
2026-04-19 02:28:56.948942184,1776565736.9489422,75479.83,75479.82,75479.81,75479.8,75479.79,75479.78,2.24254,0.00014,0.00014,0.18607,0.28506,75479.83,75479.84,75480.0,75480.28,75480.67,0.57001,0.00063,0.0012,7e-05,0.00242,0.5946667614797959,0.00999999999476131,0.6506805989757563,0.00016059848642546726,75486.18,1
2026-04-19 02:28:57.982993841,1776565737.9829938,75479.83,75479.82,75479.81,75479.8,75479.79,75479.78,2.33578,0.00014,0.00014,0.18607,0.28506,75479.83,75479.84,75480.0,75480.28,75480.67,0.24332,0.00063,0.0012,7e-05,0.00242,0.8113140242720327,0.00999999999476131,0.8378698650988762,0.00016059848642546726,75486.18,1
